,name,ufc_record,nickname,height,reach,weight,stance,DOB,SLpM,SApM,Str_Acc_pct,Str_Def_pct,TD_Avg,TD_Acc_pct,TD_Def_pct,Sub_Avg
539,Antonio Carvalho, 15-6-0,PATO," 5' 9"""," 70""",145, Orthodox," May 30, 1979",3.03,3.62,29.0,64.0,0.0,0.0,100.0,0.0
540,Rafael Carvalho, 14-1-0,," 6' 3""", --,185,," Jul 27, 1986",1.94,1.84,50.0,54.0,2.77,40.0,70.0,0.0
541,Shane Carwin, 12-2-0,THE ENGINEER," 6' 2"""," 80""",265, Orthodox," Jan 04, 1975",4.38,3.53,47.0,53.0,1.42,33.0,42.0,0.0
542,Johnny Case, 22-6-0,HOLLYWOOD," 5' 10"""," 72""",155, Orthodox," Jun 28, 1989",3.95,2.66,38.0,61.0,1.7,45.0,72.0,0.2
543,Kevin Casey, 9-5-2 (2 NC),KING," 5' 11"""," 77""",185, Southpaw," Jun 15, 1981",2.27,3.76,53.0,46.0,0.79,22.0,27.0,0.4
544,Cortney Casey, 9-9-0,CAST IRON," 5' 7"""," 67""",125, Orthodox," May 05, 1987",4.33,4.19,38.0,52.0,0.28,27.0,38.0,0.6
545,Brandon Cash, 10-4-0,MONEY," 6' 5""", --,255, Orthodox, --,5.42,0.68,72.0,33.0,10.17,66.0,0.0,0.0
546,Bendy Casimir, 20-14-2,," 5' 5""", --,145, Southpaw," Jun 10, 1980",0.74,3.42,27.0,54.0,0.0,0.0,100.0,0.0
547,Dwayne Cason, 1-1-0,," 5' 10""", --,212, Orthodox, --,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
548,Joe Cason, 9-1-0,," 6' 3""", --,205,," Jan 19, 1988",4.17,10.83,55.0,23.0,0.0,0.0,0.0,0.0
549,John Castaneda, 18-5-0,SEXY MEXI," 5' 6"""," 71""",135, Switch," Dec 18, 1991",4.17,5.07,49.0,55.0,0.86,25.0,60.0,0.0
550,Eric Castile, 3-2-0,," 5' 8""", --,145,, --,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
551,Gil Castillo, 8-5-0,," 5' 9""", --,170, Southpaw," Oct 21, 1965",0.6,2.22,45.0,44.0,3.33,45.0,50.0,0.0
552,Danny Castillo, 17-10-0,LAST CALL," 5' 9"""," 71""",155, Orthodox," Aug 25, 1979",2.57,1.96,42.0,62.0,2.95,38.0,63.0,0.2
553,Raul Castillo, 7-1-0,," 5' 11""", --,185, Orthodox, --,1.47,3.27,48.0,60.0,0.0,0.0,0.0,0.0
554,Jenna Castillo, 1-0-0,," 5' 2""", --,125,," May 05, 1982",3.24,2.01,56.0,57.0,1.68,100.0,100.0,0.0
555,Tim Catalfo, 4-2-0,OBAKE," 5' 11""", --,235, Orthodox, --,0.39,0.77,100.0,33.0,0.0,0.0,0.0,0.0
556,Nick Catone, 10-4-0,THE JERSEY DEVIL," 6' 0"""," 72""",185, Southpaw," Sep 01, 1981",2.11,2.32,44.0,63.0,3.71,44.0,83.0,0.5
557,Luke Caudillo, 17-17-0,LIL' HULK," 5' 7""", --,155, Orthodox," Nov 30, 1980",1.97,5.07,28.0,55.0,0.44,20.0,85.0,0.0
558,Gesias Cavalcante, 21-10-1 (2 NC),JZ," 5' 8"""," 71""",155, Orthodox," Jul 06, 1983",1.98,3.11,35.0,51.0,1.25,36.0,66.0,1.1
559,Rafael Cavalcante, 12-7-0 (1 NC),FEIJAO," 6' 1"""," 74""",205, Orthodox," Apr 14, 1980",2.71,3.62,53.0,49.0,0.6,40.0,63.0,0.1
560,Magnus Cedenblad, 14-5-0,JYCKEN," 6' 5"""," 79""",185, Orthodox," Apr 10, 1982",2.38,3.02,51.0,40.0,2.87,64.0,66.0,1.0
561,Yosdenis Cedeno, 10-6-1,PINK PANTHER," 5' 8"""," 69""",155, Orthodox," Feb 12, 1985",1.64,1.6,29.0,67.0,0.0,0.0,31.0,0.3
562,Henry Cejudo, 16-2-0,THE MESSENGER," 5' 4"""," 64""",135, Orthodox," Feb 09, 1987",3.92,2.77,45.0,65.0,2.12,33.0,93.0,0.2
563,Adam Cella, 6-8-0,EL NATUREL," 6' 2""", --,170,," Jun 26, 1985",1.91,2.61,42.0,51.0,3.92,75.0,50.0,1.3
564,Donald Cerrone, 36-16-0 (2 NC),COWBOY," 6' 1"""," 73""",170, Orthodox," Mar 29, 1983",4.43,4.49,46.0,53.0,1.18,33.0,74.0,1.2
565,Jared Chaffee, 5-2-0,," 5' 10""", --,155,," Dec 15, 1984",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
566,Luan Chagas, 15-3-1,TARZAN," 6' 0"""," 75""",170, Orthodox," Jun 17, 1993",4.16,3.19,47.0,62.0,0.32,12.0,85.0,0.3
567,Ansar Chalangov, 14-5-0,," 5' 9""", --,170, Orthodox," Oct 30, 1979",0.68,1.69,66.0,54.0,0.0,0.0,0.0,7.6
568,Alex Chambers, 5-5-0,ASTRO GIRL," 5' 3"""," 63""",115, Southpaw," Oct 25, 1978",2.97,5.1,54.0,50.0,2.31,41.0,53.0,1.0
569,Michael Chandler, 22-6-0,IRON," 5' 8"""," 71""",155, Orthodox," Apr 24, 1986",4.49,3.87,50.0,49.0,2.03,41.0,71.0,1.6
570,Donnie Chappell, 0-1-0,," 5' 11""", --,178, Southpaw, --,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
571,Joe Charles, 6-13-0,THE GHETTO MAN," 6' 1""", --,260, Southpaw, --,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
572,Dan Charles, 10-6-1,THE MAN," 6' 2""", --,228,," Sep 24, 1985",2.82,3.51,45.0,44.0,0.0,0.0,31.0,0.0
573,Ernest Chavez, 10-2-0,EJ," 5' 8"""," 70""",145, Orthodox," Jun 27, 1983",2.79,3.89,40.0,59.0,0.89,33.0,50.0,0.0
574,Emilio Chavez, 12-9-0,," 5' 9""", --,145,, --,2.73,1.53,48.0,54.0,3.0,50.0,0.0,0.0
575,Danny Chavez, 11-4-1,THE COLOMBIAN WARRIOR," 5' 8"""," 67""",145, Orthodox," Mar 14, 1987",2.87,3.84,38.0,50.0,2.0,60.0,87.0,0.0
576,Gabriel Checco, 10-2-0,ZANGIEF," 6' 1""", --,185, Switch," Apr 03, 1986",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
577,Albert Cheng, 7-4-0,," 5' 11""", --,170, Orthodox," Feb 07, 1985",1.0,2.6,41.0,71.0,0.0,0.0,0.0,0.0
578,Fabio Cherant, 7-2-0,WATER BUFFALO," 6' 1""", --,205, Southpaw," Nov 25, 1994",1.0,6.73,30.0,31.0,0.0,0.0,0.0,0.0
579,Ion Cherdivara, 1-1-0,, --, --,205,, --,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
580,Mark Cherico, 11-1-0,THE PRIDE OF BLOOMFIELD," 5' 7"""," 69""",145, Orthodox," May 12, 1986",3.69,7.37,34.0,56.0,5.03,50.0,0.0,0.0
581,Macy Chiasson, 8-1-0,," 5' 11"""," 72""",135, Orthodox," Jul 27, 1991",4.16,2.17,49.0,46.0,0.98,21.0,64.0,0.5
582,Michael Chiesa, 18-4-0,MAVERICK," 6' 1"""," 75""",170, Southpaw," Dec 07, 1987",1.89,1.71,40.0,54.0,3.6,52.0,68.0,0.9
583,Giga Chikadze, 13-2-0,," 6' 0"""," 74""",145, Orthodox," Aug 25, 1988",3.55,2.67,44.0,60.0,0.38,33.0,68.0,0.0
584,Khamzat Chimaev, 9-0-0,BORZ," 6' 2"""," 75""",170, Orthodox," May 01, 1994",9.03,0.1,72.0,66.0,4.67,75.0,0.0,3.1
585,Sako Chivitchian, 8-1-0,," 5' 11""", --,155,," Mar 11, 1984",2.4,4.8,27.0,46.0,0.0,0.0,100.0,0.0
586,Mu Bae Choi, 12-6-0,," 6' 2""", --,230, Orthodox," Jun 27, 1970",1.55,3.65,49.0,44.0,3.12,75.0,60.0,1.0
587,Hong Man Choi, 4-5-0,TECHNO GOLIATH," 7' 2""", --,330, Orthodox," Oct 30, 1980",1.32,1.46,26.0,36.0,0.71,100.0,84.0,0.0
588,Dooho Choi, 14-4-0,THE KOREAN SUPERBOY," 5' 10"""," 70""",145, Orthodox," Apr 10, 1991",5.32,6.38,51.0,53.0,0.41,20.0,50.0,0.0
589,SeungWoo Choi, 10-3-0,STING," 6' 0"""," 74""",145, Orthodox," Nov 03, 1992",3.31,2.55,41.0,46.0,1.0,57.0,66.0,0.0
590,John Cholish, 8-3-0,," 5' 11"""," 74""",155, Orthodox," Dec 17, 1983",2.65,2.29,49.0,73.0,1.82,31.0,78.0,0.4
591,Ryo Chonan, 22-13-0,PIRANAH," 5' 9"""," 70""",170, Orthodox," Oct 08, 1976",2.57,2.25,43.0,60.0,0.61,41.0,39.0,0.3
592,Katlyn Chookagian, 16-4-0,BLONDE FIGHTER," 5' 9"""," 68""",125, Orthodox," Dec 28, 1988",4.57,4.37,35.0,62.0,0.25,15.0,52.0,0.4
593,Will Chope, 34-13-0,THE KILL," 6' 4""", --,145, Switch," Sep 08, 1990",4.43,9.93,27.0,46.0,0.0,0.0,0.0,0.0
594,Joachim Christensen, 14-6-0,," 6' 3"""," 76""",205, Orthodox," Nov 07, 1978",3.78,3.29,41.0,46.0,0.0,0.0,0.0,0.0
595,Dan Christison, 20-7-0,THE SANDMAN," 6' 8""", --,265, Orthodox," Apr 26, 1972",4.23,3.88,51.0,54.0,0.0,0.0,37.0,1.1
596,Anthony Christodoulou, 12-7-0,," 5' 9""", --,155, Orthodox," Jul 30, 1987",2.19,5.9,26.0,45.0,0.0,0.0,40.0,0.0
597,Murad Chunkaiev, 8-4-0,," 5' 11""", --,185, Orthodox, --,0.85,3.41,16.0,66.0,8.53,100.0,0.0,0.0
598,Cameron Church, 4-1-0,," 5' 11"""," 72""",155, Orthodox," Sep 27, 1990",4.0,4.93,40.0,50.0,0.0,0.0,60.0,1.0
599,Steven Ciaccio, 4-4-0,STRYKER," 6' 0""", --,170,, --,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
600,Mike Ciesnolevicz, 19-4-0 (1 NC),," 6' 0""", --,235, Orthodox," Oct 28, 1979",0.51,4.62,50.0,57.0,0.0,0.0,20.0,5.1
601,Hannah Cifers, 10-7-0,SHOCKWAVE," 5' 1"""," 62""",115, Orthodox," Jun 26, 1992",4.99,5.39,44.0,52.0,0.26,100.0,64.0,0.3
602,Branko Cikatic, 0-2-0,," 6' 1""", --,215, Orthodox," Oct 03, 1954",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
603,Nikolajus Cilkinas, 2-6-0,, --, --,--, Orthodox, --,0.0,5.88,0.0,16.0,0.0,0.0,0.0,0.0
604,Misha Cirkunov, 15-6-0,," 6' 3"""," 77""",205, Orthodox," Feb 27, 1987",4.18,3.22,51.0,60.0,4.28,57.0,71.0,2.3
605,Johnny Cisneros, 9-6-0,THE TATTOOED TERROR," 5' 11""", --,170,," Feb 05, 1980",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
606,Laverne Clark, 27-21-1,," 5' 11""", --,170, Orthodox," Dec 02, 1973",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
607,Logan Clark, 18-6-0,," 6' 2""", --,185, Orthodox," Feb 16, 1985",2.2,1.49,54.0,53.0,0.31,100.0,30.0,2.1
608,Mychal Clark, 10-14-0,," 6' 3""", --,224, Orthodox, --,5.8,2.9,56.0,59.0,0.0,0.0,0.0,0.0
609,Dominic Clark, 10-7-0,," 5' 10""", --,155,," Aug 01, 1985",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
610,Heather Clark, 7-6-0,HURRICANE," 5' 6"""," 64""",115, Orthodox," Sep 19, 1980",3.69,5.62,49.0,50.0,0.33,4.0,80.0,0.3
611,Devin Clark, 12-5-0,BROWN BEAR," 6' 0"""," 75""",205, Orthodox," Apr 12, 1990",3.33,2.43,57.0,48.0,2.7,36.0,76.0,0.1
612,Jessica-Rose Clark, 10-6-0 (1 NC),," 5' 5"""," 64""",125, Orthodox," Nov 28, 1987",4.68,3.98,51.0,60.0,1.01,55.0,73.0,0.4
613,John Clarke, 1-1-0,, --, --,170,," Aug 15, 1977",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
614,Mitch Clarke, 11-5-0,DANGER ZONE," 5' 10"""," 73""",155, Orthodox," Nov 24, 1985",2.35,3.27,34.0,47.0,0.64,15.0,50.0,0.4
615,Rich Clementi, 45-23-1,NO LOVE," 5' 9"""," 72""",155, Southpaw," Mar 31, 1976",1.43,2.29,37.0,60.0,1.72,42.0,25.0,1.1
616,Chris Clements, 12-6-0 (1 NC),THE MENACE," 5' 10"""," 70""",170, Orthodox," Feb 09, 1976",3.2,2.37,49.0,44.0,0.0,0.0,32.0,0.3
617,RJ Clifford, 4-3-0,, --, --,160,, --,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
618,Josh Clopton, 6-2-1,THE GENTLEMAN," 5' 6""", --,145, Orthodox," Jul 11, 1981",1.6,2.87,64.0,50.0,2.0,66.0,75.0,0.0
619,Brian Cobb, 20-9-0,," 5' 11""", --,155, Orthodox, --,0.0,3.68,0.0,55.0,5.81,50.0,0.0,0.0
620,Darryl Cobb, 6-8-0,," 5' 9""", --,185,," Aug 04, 1980",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
621,Dave Cochran, 26-29-1,," 5' 6""", --,155,," May 10, 1973",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
622,Dakota Cochrane, 29-12-0,," 5' 8""", --,155,," May 01, 1986",2.66,2.66,75.0,30.0,4.43,33.0,0.0,0.0
623,Marloes Coenen, 23-8-0,," 5' 9"""," 67""",145,," Mar 31, 1981",2.15,1.9,51.0,67.0,0.82,30.0,41.0,2.5
624,Marc Cofer, 7-5-0,, --, --,185,," Mar 03, 1972",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
625,John Cofer, 8-4-0,THE POTTER," 5' 9""", --,155, Southpaw," Apr 29, 1984",2.73,3.43,41.0,62.0,1.22,50.0,64.0,0.0
626,Chris Coggins, 7-10-0,, --, --,--,, --,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
627,Felipe Colares, 10-2-0,CABOCAO," 5' 8"""," 69""",135, Orthodox," Mar 31, 1994",2.15,4.22,51.0,38.0,2.0,23.0,38.0,0.8
628,Wayne Cole, 16-25-0,," 6' 1""", --,205, Orthodox, --,0.57,8.33,20.0,27.0,4.31,25.0,0.0,4.3
629,Devin Cole, 20-10-1,," 6' 4""", --,240, Orthodox," Oct 01, 1976",3.5,2.14,55.0,48.0,2.18,42.0,66.0,0.0
630,Coltin Cole, 4-5-0,, --, --,185,," Apr 24, 1989",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
631,Ivan Cole, 2-3-0,JP," 5' 9""", --,135,," Nov 30, 1990",2.68,4.69,36.0,46.0,0.0,0.0,0.0,0.0
632,Mark Coleman, 16-10-0,THE HAMMER," 6' 1"""," 75""",205, Orthodox," Dec 20, 1964",1.88,2.62,52.0,40.0,3.89,40.0,50.0,0.8
633,Cortez Coleman, 13-8-0,HOLLYWOOD," 6' 1""", --,185,," Jan 28, 1982",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
634,Clay Collard, 14-7-0 (1 NC),CASSIUS," 5' 11"""," 73""",145, Orthodox," Mar 10, 1993",4.22,5.0,32.0,50.0,2.81,39.0,71.0,0.5
635,Jamie Colleen, 4-1-0,," 5' 3"""," 65""",115, Orthodox," Nov 02, 1985",3.11,5.66,61.0,33.0,0.52,33.0,50.0,1.6
636,Jake Collier, 12-6-0,THE PROTOTYPE," 6' 3"""," 78""",230, Orthodox," Oct 25, 1988",5.52,4.44,42.0,52.0,0.48,21.0,67.0,0.3
637,Christian Colombo, 8-3-1,," 6' 5""", --,265, Orthodox," Jul 01, 1980",2.76,4.02,44.0,42.0,0.0,0.0,33.0,0.0
638,Wes Combs, 20-6-0,THE SOLDIER," 6' 2""", --,205, Orthodox," Jun 18, 1973",2.14,4.73,48.0,45.0,0.0,0.0,0.0,0.0
639,Carlos Condit, 32-14-0,THE NATURAL BORN KILLER," 6' 2"""," 75""",170, Orthodox," Apr 26, 1984",3.66,2.67,39.0,55.0,0.59,46.0,38.0,1.0
640,Chris Condo, 0-1-0,," 6' 0""", --,335, Orthodox, --,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
641,Montserrat Conejo, 10-2-0,," 5' 0"""," 61""",115, Southpaw," Feb 03, 1993",1.16,2.44,37.0,51.0,3.85,80.0,0.0,1.9
642,Tristan Connelly, 14-7-0,BOONDOCK," 5' 10"""," 68""",170, Orthodox," Dec 12, 1985",2.77,1.93,47.0,51.0,0.5,14.0,70.0,0.5
643,Marcos Conrado Jr., 5-1-0,," 6' 2""", --,220, Orthodox," Mar 14, 1982",1.6,9.69,34.0,35.0,1.84,14.0,0.0,0.0
644,Jeremiah Constant, 11-8-0 (1 NC),," 6' 1""", --,240, Orthodox," Jul 19, 1974",1.5,3.25,75.0,43.0,0.0,0.0,0.0,7.5
645,Jonathan Contrestano, 6-0-0,JT, --, --,155,, --,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
646,Bob Cook, 5-0-0,CRAZY," 5' 9""", --,170, Orthodox, --,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
647,Mike Cook, 13-13-0,," 6' 1""", --,205, Orthodox, --,1.72,2.4,49.0,46.0,1.03,33.0,55.0,2.1
648,Chad Cook, 10-12-0,," 6' 2""", --,205,," Nov 07, 1979",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
649,TJ Cook, 13-5-0,, --, --,205,," Sep 08, 1982",2.3,3.18,47.0,54.0,1.01,50.0,0.0,0.0
650,Dewey Cooper, 2-1-0,THE BLACK COBRA, --, --,205,, --,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
651,Brett Cooper, 23-12-0,," 6' 0""", --,170, Orthodox," Jul 02, 1987",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
652,Bill Cooper, 2-1-0,, --, --,155,," May 05, 1984",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
653,Bobby Cooper, 12-7-0,SUPER DUPER," 6' 1""", --,155,, --,2.87,3.4,25.0,59.0,0.0,0.0,40.0,1.0
654,Amanda Cooper, 3-5-0,ABC," 5' 3"""," 64""",115, Switch," Oct 22, 1991",3.55,3.2,44.0,51.0,1.53,38.0,28.0,1.8
655,Kit Cope, 6-7-0,HAVOC," 6' 0""", --,170, Orthodox," Mar 17, 1977",1.18,2.12,52.0,35.0,0.0,0.0,50.0,3.5
656,Chris Cope, 8-4-0,C-MURDER," 6' 0"""," 72""",170, Orthodox," Mar 05, 1983",3.96,4.82,26.0,50.0,0.0,0.0,80.0,0.0
657,Josh Copeland, 12-4-0,CUDDLY BEAR," 6' 1""", --,265, Orthodox," Oct 20, 1982",1.03,3.01,31.0,55.0,0.0,0.0,57.0,0.0
658,Michael Cora, 4-1-0,KOOKIE MONSTER," 6' 1"""," 77""",170, Southpaw," Aug 24, 1989",0.8,0.13,28.0,66.0,0.0,0.0,25.0,0.0
659,Akira Corassani, 12-6-0 (1 NC),," 5' 8"""," 68""",145, Orthodox," Aug 27, 1982",3.25,4.91,45.0,50.0,0.7,28.0,86.0,0.0
660,Muhsin Corbbrey, 17-9-0,," 5' 10""", --,155, Orthodox," May 18, 1978",2.02,5.41,34.0,53.0,0.0,0.0,80.0,0.4
661,Daniel Cormier, 22-3-0 (1 NC),DC," 5' 11"""," 72""",235, Orthodox," Mar 20, 1979",4.25,2.92,52.0,54.0,1.83,44.0,80.0,0.4
662,Clint Coronel, 2-5-0,, --, --,155,, --,4.93,5.6,32.0,66.0,0.0,0.0,66.0,0.0
663,Henry Corrales, 13-3-0,," 5' 9""", --,145,, --,4.12,5.84,41.0,55.0,0.0,0.0,69.0,0.0
664,Bethe Correia, 11-5-1,PITBULL," 5' 5"""," 64""",135, Orthodox," Jun 22, 1983",4.39,4.56,44.0,58.0,0.44,20.0,84.0,0.0
665,Wesley Correira, 20-16-0,CABBAGE," 6' 3""", --,260, Orthodox," Nov 11, 1978",2.6,8.8,36.0,40.0,0.0,0.0,90.0,0.0
666,Tracy Cortez, 9-1-0,," 5' 5"""," 65""",135, Orthodox," Dec 10, 1993",3.85,2.4,55.0,59.0,3.0,46.0,87.0,0.2
667,Chad Corvin, 5-0-0,THE BRAVE WARRIOR," 6' 5""", --,255,, --,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
668,Louis Cosce, 7-1-0,," 5' 9"""," 71""",170, Orthodox," Aug 27, 1995",8.22,9.3,48.0,48.0,1.07,11.0,0.0,0.0
669,Orion Cosce, 7-1-0,GALAXY," 5' 11"""," 71""",170, Switch," Jul 15, 1994",3.7,3.12,55.0,52.0,1.87,42.0,70.0,0.0
670,Miguel Cosio, 1-13-0,," 6' 4""", --,205,, --,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
671,Jadson Costa, 22-8-0 (1 NC),," 5' 7""", --,155, Orthodox, --,0.2,3.05,50.0,50.0,0.0,0.0,0.0,0.0
672,Guilherme Costa, 7-1-0,THE PRODIGY, --, --,155,, --,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
673,Paulo Costa, 13-1-0,THE ERASER," 6' 1"""," 72""",185, Orthodox," Apr 21, 1991",7.03,6.7,57.0,50.0,0.0,0.0,80.0,0.0
674,Randy Costa, 6-2-0,THE ZOHAN," 5' 9"""," 73""",135, Switch," Jul 06, 1994",8.64,6.86,46.0,62.0,0.0,0.0,100.0,0.0
675,Oscar Cota, 11-3-0 (1 NC),ELEVATION," 6' 0"""," 72""",230, Orthodox," Oct 15, 1984",0.33,2.47,41.0,41.0,0.0,0.0,60.0,1.0
676,Patrick Cote, 23-11-0,THE PREDATOR," 5' 11"""," 75""",170, Orthodox," Feb 29, 1980",2.81,3.21,48.0,48.0,0.68,20.0,43.0,0.2
677,JC Cottrell, 17-5-0,," 5' 9""", --,155, Orthodox," Nov 04, 1989",0.79,2.75,25.0,45.0,0.79,100.0,50.0,0.0
678,JR Coughran, 4-1-0,BAM BAM," 5' 6""", --,145, Orthodox," May 17, 1994",12.29,6.8,57.0,45.0,0.0,0.0,75.0,0.0
679,Rashad Coulter, 9-4-0,DAYWALKER," 5' 11"""," 76""",205, Orthodox," Nov 27, 1981",4.82,6.68,56.0,50.0,0.0,0.0,62.0,0.0
680,Dave Courchaine, 20-7-0,," 5' 8""", --,170,, --,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
681,Randy Couture, 19-11-0,THE NATURAL," 6' 1"""," 75""",205, Orthodox," Jun 22, 1963",2.85,1.53,57.0,59.0,2.78,46.0,58.0,0.5
682,Kim Couture, 3-8-0,SUGAR FREE," 5' 8""", --,135, Orthodox," Dec 18, 1975",12.12,2.31,80.0,69.0,0.0,0.0,0.0,0.0
683,Ryan Couture, 11-5-0,," 5' 10"""," 73""",155, Orthodox," Aug 27, 1982",3.54,2.87,45.0,54.0,1.55,29.0,46.0,1.3
684,Nikk Covert, 3-4-0,THE BRICK," 5' 8""", --,185,," Aug 04, 1969",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
685,Colby Covington, 16-2-0,CHAOS," 5' 11"""," 72""",170, Orthodox," Feb 22, 1988",4.12,2.86,38.0,55.0,4.61,50.0,75.0,0.1
686,Jeff Cox, 10-7-0,THE GRINDER," 5' 10""", --,155, Orthodox," Aug 02, 1968",0.56,1.69,25.0,33.0,4.23,50.0,80.0,0.0
687,Nathan Coy, 15-7-0,SOULFORCE," 5' 10"""," 69""",170, Southpaw," Jul 24, 1978",3.88,2.4,52.0,61.0,3.17,47.0,50.0,0.0
688,Andrew Craig, 9-4-0,HIGHLIGHT," 6' 1"""," 76""",170, Orthodox," Jan 15, 1986",2.39,3.01,40.0,50.0,0.53,37.0,72.0,0.0
689,Paul Craig, 15-4-1,BEARJEW," 6' 3"""," 76""",205, Orthodox," Nov 27, 1987",2.59,2.39,51.0,50.0,2.06,25.0,55.0,1.9
690,Dan Cramer, 11-4-0,," 6' 2""", --,170, Orthodox," Oct 31, 1985",0.97,2.1,30.0,31.0,0.0,0.0,66.0,0.5
691,Alberto Crane, 15-5-0,," 5' 5""", --,155, Orthodox," Jul 14, 1976",0.43,2.61,25.0,57.0,0.0,0.0,50.0,4.0
692,Tim Credeur, 12-4-0,," 6' 3"""," 75""",185, Orthodox," Jul 09, 1977",3.59,3.13,30.0,57.0,0.41,100.0,50.0,3.3
693,Paul Creighton, 3-1-0,," 5' 6""", --,155, Southpaw," Jun 04, 1970",0.72,4.65,75.0,30.0,5.37,37.0,0.0,0.0
694,Alexander Crispim, 8-6-0,, --, --,145,, --,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
695,Alex Crispin, 0-1-0,, --, --,155,, --,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
696,Kevin Croom, 21-13-0 (1 NC),CRASH," 5' 11"""," 73""",155, Orthodox," Jul 15, 1987",1.35,3.22,36.0,31.0,0.97,6.0,50.0,1.0
697,Ken Cross, 11-3-0,THE BOSS," 6' 0"""," 72""",155, Southpaw," Oct 04, 1994",2.2,1.4,57.0,55.0,1.0,12.0,66.0,0.0
698,Jeff Crotty, 1-1-0,, --, --,155,, --,0.93,3.33,35.0,54.0,5.0,38.0,0.0,1.0
699,Allen Crowder, 10-4-0 (1 NC),PRETTY BOY," 6' 3"""," 76""",245, Orthodox," Nov 08, 1989",2.95,2.95,51.0,56.0,1.85,33.0,100.0,1.2
700,Daron Cruickshank, 18-10-0 (1 NC),DETROIT SUPERSTAR," 5' 8"""," 72""",155, Switch," Jun 11, 1985",2.88,2.98,38.0,57.0,2.04,41.0,60.0,0.2
701,Richard Crunkilton, 19-4-0,CLEAT," 5' 7""", --,155, Orthodox," Nov 25, 1979",1.72,1.45,41.0,58.0,4.08,61.0,65.0,1.3
702,Jimmy Crute, 12-2-0,," 6' 2"""," 74""",205, Orthodox," Mar 04, 1996",4.26,2.71,56.0,50.0,4.97,80.0,60.0,2.1
703,Marcio Cruz, 8-3-0,PE DE PANO," 6' 4""", --,232, Orthodox," Apr 24, 1978",2.92,1.51,46.0,68.0,0.53,7.0,37.0,1.6
704,Dominick Cruz, 23-3-0,THE DOMINATOR," 5' 8"""," 68""",135, Orthodox," Mar 09, 1985",3.65,2.42,32.0,72.0,2.99,46.0,83.0,0.1
705,Aalon Cruz, 8-4-0,," 6' 0"""," 78""",145, Switch," Sep 20, 1989",7.58,8.88,39.0,58.0,0.0,0.0,0.0,0.0
706,Jay Cucciniello, 8-1-0,," 5' 7""", --,155, Orthodox," Jul 23, 1986",0.93,4.73,21.0,36.0,0.0,0.0,71.0,0.0
707,Josh Culibao, 9-1-1,KUYA," 5' 10"""," 73""",145, Orthodox," May 24, 1994",2.92,3.05,43.0,54.0,0.0,0.0,86.0,0.4
708,Chris Culley, 20-15-0,, --, --,145,," Mar 25, 1986",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
709,Abel Cullum, 20-6-0,THE SILENT ASSASSIN," 5' 7""", --,139, Orthodox," Apr 21, 1987",1.82,1.23,40.0,46.0,4.01,52.0,0.0,2.8
710,Zak Cummings, 24-7-0,," 6' 0"""," 75""",185, Southpaw," Aug 02, 1984",2.58,2.83,32.0,55.0,0.68,28.0,65.0,0.7
711,Everett Cummings, 12-0-0,, --, --,205,, --,0.43,4.34,60.0,45.0,0.0,0.0,0.0,2.2
712,Patrick Cummins, 10-7-0,DURKIN," 6' 2"""," 76""",205, Orthodox," Nov 16, 1980",4.26,3.35,50.0,55.0,4.49,41.0,28.0,0.1
