,name,DOB,ufc_record,weight,stance,nickname,heightIN,reachIN
948,Mallory Martin," Jan 29, 1994", 7-4-0,115,Orthodox,,64,63
949,Danny Martinez," Jun 14, 1985", 21-8-0,125,Orthodox,THE GREMLIN,66,67
950,Henry Martinez," Aug 07, 1983", 9-4-0,155,Southpaw,SICARIO,67,69
951,Jonathan Martinez," Apr 20, 1994", 13-4-0,135,Southpaw,DRAGON,68,70
952,Mana Martinez," Mar 25, 1996", 6-2-0,135,Orthodox,MANABOI,70,70
953,Roque Martinez," Mar 04, 1986", 15-8-2,250,Orthodox,,70,72
954,Adriano Martins," Dec 16, 1982", 28-9-0,155,Southpaw,,70,72
955,Lucas Martins," Nov 11, 1988", 19-3-0,145,Southpaw,MINEIRO,72,72
956,Bristol Marunde," Apr 20, 1982", 16-10-0,170,Orthodox,,73,75
957,Mike Massenzio," Nov 01, 1982", 13-9-0,185,Southpaw,THE MASTER OF DISASTER,74,73
958,Jameel Massouh," Sep 12, 1984", 26-9-0,145,Orthodox,,70,72
959,Tiffany Masters," Jul 31, 1994", 2-1-0,115,Orthodox,RAINBOW RENEGADE,63,65
960,Jorge Masvidal," Nov 12, 1984", 35-15-0,170,Orthodox,GAMEBRED,71,74
961,Al Matavao," Feb 23, 1994", 8-3-0,205,Orthodox,SWEETNESS,68,67
962,Jake Matthews," Aug 19, 1994", 17-5-0,170,Orthodox,THE CELTIC KID,71,73
963,Vladimir Matyushenko," Jan 04, 1971", 27-8-0,205,Orthodox,THE JANITOR,72,74
964,Miranda Maverick," Jul 01, 1997", 11-3-0,125,Southpaw,FEAR THE,63,65
965,Nick Maximov," Dec 23, 1997", 6-0-0,220,Southpaw,,72,76
966,Don'Tale Mayes," Jan 16, 1992", 8-4-0,260,Orthodox,LORD KONG,78,81
967,Gray Maynard," May 09, 1979", 13-7-1 (1 NC),155,Orthodox,,69,70
968,Gina Mazany," Aug 19, 1988", 7-5-0,125,Southpaw,DANGER,66,68
969,Sabina Mazo," Mar 25, 1997", 9-2-0,135,Orthodox,COLOMBIAN QUEEN,67,70
970,Ian McCall," May 07, 1984", 13-5-1,125,Orthodox,UNCLE CREEPY,65,64
971,Molly McCann," May 04, 1990", 10-4-0,125,Orthodox,MEATBALL,64,62
972,Charles McCarthy," Aug 06, 1980", 10-5-0,185,Orthodox,CHAINSAW,70,71
973,Sean McCorkle," Jul 17, 1976", 17-7-0,265,Orthodox,,79,81
974,Kris McCray," Sep 24, 1981", 8-5-0,170,Orthodox,SAVAGE,72,76
975,Tamdan McCrory," Nov 05, 1986", 14-5-0,185,Switch,THE BARNCAT,76,76
976,Rob McCullough," May 26, 1977", 19-8-0,155,Orthodox,RAZOR,69,69
977,Justin McCully," Feb 18, 1976", 11-5-2,225,Orthodox,THE INSANE ONE,73,73
978,Robert McDaniel," May 03, 1983", 28-10-0,185,Southpaw,BUBBA,75,75
979,Drew McFedries," Jul 27, 1978", 12-7-0,185,Southpaw,THE MASSACRE,72,72
980,Court McGee," Dec 12, 1984", 21-10-0,170,Orthodox,THE CRUSHER,71,75
981,Conor McGregor," Jul 14, 1988", 22-6-0,155,Southpaw,THE NOTORIOUS,69,74
982,Rhys McKee," Sep 10, 1995", 10-4-1,170,Orthodox,SKELETOR,74,78
983,Cory McKenna," Nov 07, 1999", 6-1-0,115,Orthodox,THE HOBBIT,63,58
984,Tim McKenzie," Jul 21, 1982", 14-9-0,185,Orthodox,,72,74
985,Cody McKenzie," Dec 16, 1987", 16-10-0,155,Switch,,72,72
986,Terrance McKinney," Sep 15, 1994", 11-3-0,155,Switch,T. WRECKS,70,73
987,Garreth McLellan," Sep 01, 1982", 13-6-0,185,Southpaw,SOLDIER BOY,73,72
988,Sara McMann," Sep 24, 1980", 12-6-0,135,Orthodox,,66,66
989,James McSweeney," Oct 24, 1980", 15-15-0,230,Switch,THE HAMMER,76,77
990,Tim Means," Feb 20, 1984", 32-12-1 (1 NC),170,Orthodox,THE DIRTY BIRD,74,75
991,Yancy Medeiros," Sep 07, 1987", 15-8-0 (1 NC),155,Orthodox,,70,75
992,Uros Medic," Apr 25, 1993", 7-0-0,155,Southpaw,THE DOCTOR,73,71
993,Emil Meek," Aug 20, 1988", 9-5-1 (1 NC),170,Switch,VALHALLA,71,74
994,Sanford Alton Meeks," Apr 05, 1994", 1-1-0,265,Orthodox,,77,75
995,Gerald Meerschaert," Dec 18, 1987", 32-14-0,185,Southpaw,GM3,73,77
996,Jordan Mein," Oct 10, 1989", 31-12-0,170,Orthodox,YOUNG GUN,72,73
997,Gilbert Melendez," Apr 12, 1982", 22-8-0,145,Orthodox,EL NINO,69,73
998,Vanessa Melo," Mar 27, 1988", 11-8-0,135,Orthodox,,65,65
999,Antonio Mendes," Apr 19, 1981", 18-13-0,205,Southpaw,SAMURAI,75,77
1000,Chad Mendes," May 01, 1985", 18-5-0,145,Orthodox,MONEY,66,66
1001,Augusto Mendes," Mar 03, 1983", 6-2-0,135,Orthodox,TANQUINHO,66,65
1002,Pietro Menga," Feb 15, 1988", 13-0-0,125,Southpaw,,67,68
1003,Alonzo Menifield," Oct 18, 1987", 10-2-0,205,Orthodox,ATOMIC,72,76
1004,Ivan Menjivar," May 30, 1982", 25-12-0,145,Orthodox,THE PRIDE OF EL SALVADOR,66,64
1005,Yaotzin Meza," Feb 04, 1981", 21-11-0 (1 NC),145,Orthodox,,69,71
1006,Andreas Michailidis," Jul 18, 1988", 13-4-0,185,Orthodox,THE SPARTAN,72,76
1007,Zachary Micklewright," Aug 21, 1976", 15-3-0,155,Southpaw,,72,74
1008,Bojan Mihajlovic," Mar 30, 1980", 10-6-0,205,Orthodox,,71,73
1009,Curtis Millender," Dec 01, 1987", 17-5-0,170,Orthodox,CURTIOUS,74,76
1010,Dan Miller," Jun 30, 1981", 14-8-0 (1 NC),185,Orthodox,,73,74
1011,Jim Miller," Aug 30, 1983", 32-16-0 (1 NC),155,Southpaw,A-10,68,71
1012,Cole Miller," Apr 26, 1984", 21-11-0 (1 NC),145,Orthodox,MAGRINHO,73,73
1013,Che Mills," Sep 29, 1982", 16-10-0 (3 NC),170,Orthodox,BEAUTIFUL,73,76
1014,Adam Milstead," Jul 03, 1987", 8-4-0,205,Orthodox,THE PROTOTYPE,75,76
1015,Alberto Mina," May 02, 1982", 13-1-0,170,Orthodox,SOLDIER OF GOD,72,77
1016,Darrick Minner," Apr 28, 1990", 26-12-0,145,Orthodox,,67,69
1017,Carlton Minus," Apr 26, 1993", 10-3-0 (1 NC),170,Orthodox,CLUTCH,70,75
1018,Stipe Miocic," Aug 19, 1982", 20-4-0,240,Orthodox,,76,80
1019,Frank Mir," May 24, 1979", 18-11-0,264,Southpaw,,75,79
1020,Mario Miranda," Jul 12, 1979", 14-7-0,185,Orthodox,,75,74
1021,Vitor Miranda," Mar 10, 1979", 12-5-0,185,Orthodox,LEX LUTHOR,73,77
1022,David Mitchell," Oct 24, 1979", 22-7-0,170,Orthodox,DAUDI,72,75
1023,Bryce Mitchell," Oct 04, 1994", 14-1-0,145,Southpaw,THUG NASTY,70,70
1024,Matt Mitrione," Jul 15, 1978", 12-5-0,265,Switch,,75,82
1025,Hiromitsu Miura," Sep 22, 1981", 12-7-0,170,Orthodox,,69,71
1026,Takeya Mizugaki," Dec 16, 1983", 21-11-2,135,Orthodox,,67,69
1027,Roxanne Modafferi," Sep 24, 1982", 25-19-0,125,Orthodox,THE HAPPY WARRIOR,67,69
1028,Bobby Moffett," Jun 01, 1990", 13-5-0 (1 NC),145,Orthodox,THE WOLFMAN,70,73
1029,Nate Mohr," Mar 03, 1983", 9-7-0,155,Orthodox,,69,72
1030,Renato Moicano," May 21, 1989", 15-4-1,155,Orthodox,,71,72
1031,Thiago Moises," Mar 23, 1995", 15-5-0,155,Orthodox,,69,70
1032,Ashkan Mokhtarian," Sep 15, 1985", 13-3-0,125,Southpaw,THE ASSASSIN,66,67
1033,Suman Mokhtarian," Jun 13, 1992", 8-5-0,145,Orthodox,,68,72
1034,Jeff Molina," Jul 17, 1997", 9-2-0,125,Orthodox,EL JEFE,66,69
1035,Jeff Monson," Jan 18, 1971", 60-26-1,247,Orthodox,THE SNOWMAN,69,74
1036,Darrell Montague," Nov 03, 1987", 13-5-0,125,Southpaw,MONGOOSE,66,67
1037,Augusto Montano," Oct 25, 1984", 15-3-0,170,Orthodox,DODGER,73,73
1038,Erick Montano," Nov 19, 1985", 7-5-0,170,Orthodox,PERRY,72,73
1039,Nicco Montano," Dec 16, 1988", 5-3-0,135,Southpaw,,65,65
1040,James Moontasri," Apr 10, 1988", 9-5-0,170,Switch,MOON WALKER,70,71
1041,Todd Moore," Dec 30, 1983", 16-7-0,170,Southpaw,,69,71
1042,Taylor Moore," Oct 16, 1993", 10-5-0,135,Southpaw,,70,70
1043,Sergio Moraes," Jul 23, 1982", 14-6-1,170,Orthodox,THE PANTHER,72,72
1044,Marlon Moraes," Apr 26, 1988", 23-8-1,135,Orthodox,MAGIC,66,67
1045,Sheymon Moraes," Oct 11, 1990", 11-4-0,145,Orthodox,,68,72
1046,John Moraga," Mar 20, 1984", 19-7-0,125,Orthodox,,66,66
1047,Albert Morales," May 25, 1991", 7-4-1,135,Orthodox,THE WARRIOR,69,72
1048,Joseph Morales," Aug 22, 1994", 9-2-0,125,Switch,,66,69
1049,Vince Morales," Nov 12, 1990", 9-5-0,145,Orthodox,VANDETTA,67,70
1050,Omar Morales," Oct 17, 1985", 11-1-0,145,Orthodox,VENEZUELAN FIGHTER,71,73
1051,Sarah Moras," Apr 30, 1988", 6-8-0,135,Orthodox,CHEESECAKE,67,67
1052,Christian Morecraft," Sep 08, 1986", 8-3-0,260,Orthodox,,78,81
1053,Vinicius Moreira," Feb 28, 1989", 9-5-0,205,Orthodox,MAMUTE,76,76
1054,Brandon Moreno," Dec 07, 1993", 19-5-2,125,Orthodox,THE ASSASSIN BABY,67,70
1055,Dan Moret," Nov 21, 1986", 13-6-0,155,Southpaw,THE HITMAN,72,73
1056,Alex Morono," Aug 16, 1990", 19-7-0 (1 NC),170,Orthodox,THE GREAT WHITE,71,72
1057,Maryna Moroz," Sep 08, 1991", 10-3-0,125,Orthodox,IRON LADY,67,67
1058,Sergey Morozov," Jun 14, 1989", 17-4-0,135,Orthodox,,66,67
1059,Nikolas Motta," Feb 08, 1993", 12-3-0,155,Orthodox,IRON,69,70
1060,Gegard Mousasi," Aug 01, 1985", 42-6-2,185,Orthodox,,74,76
1061,Kris Moutinho," Aug 09, 1992", 9-5-0,135,Southpaw,,67,68
1062,Jamie Moyle," Mar 17, 1989", 4-3-0,115,Orthodox,,61,65
1063,Su Mudaerji," Jan 20, 1996", 14-4-0,125,Southpaw,THE TIBETAN EAGLE,68,72
1064,Lauren Mueller," Nov 15, 1991", 5-3-0,125,Orthodox,PRINCESS TIGER,65,67
1065,Belal Muhammad," Jul 09, 1988", 19-3-0 (1 NC),170,Orthodox,REMEMBER THE NAME,71,72
1066,James Mulheron," Feb 20, 1988", 11-2-0,243,Orthodox,,70,73
1067,Jamie Mullarkey," Aug 17, 1994", 13-4-0,155,Orthodox,,72,74
1068,Pedro Munhoz," Sep 07, 1986", 19-5-0 (1 NC),135,Orthodox,THE YOUNG PUNISHER,66,65
1069,Andre Muniz," Feb 17, 1990", 21-4-0,185,Southpaw,SERGIPANO,73,78
1070,Mark Munoz," Feb 09, 1978", 14-6-0,185,Orthodox,THE FILIPINO WRECKING MACHINE,72,71
1071,Alexander Munoz," Feb 27, 1990", 6-2-0,155,Switch,,69,72
1072,Johnny Munoz," Feb 16, 1993", 10-1-0,145,Orthodox,KID KVENBO,69,71
1073,Makhmud Muradov," Feb 08, 1990", 25-6-0,185,Orthodox,MACH,74,75
1074,Kanako Murata," Aug 10, 1993", 12-2-0,115,Orthodox,,61,62
1075,Vince Murdock," Mar 21, 1991", 12-4-0 (1 NC),145,Orthodox,,66,64
1076,Lauren Murphy," Jul 27, 1983", 15-4-0,125,Orthodox,LUCKY,65,67
1077,Lerone Murphy," Jul 22, 1991", 10-0-1,145,Orthodox,THE MIRACLE,69,73
1078,Khalid Murtazaliev," Jul 15, 1993", 14-2-0,185,Orthodox,,72,76
1079,Nicholas Musoke," Apr 05, 1986", 13-5-0 (1 NC),170,Orthodox,NICO,72,75
1080,Magomed Mustafaev," Aug 02, 1988", 14-4-0,155,Orthodox,THE SNIPER,68,71
1081,Elvis Mutapcic," Jul 19, 1986", 15-6-1,185,Orthodox,THE KING,72,72
1082,Na Liang," Jul 27, 1996", 15-5-0,115,Orthodox,THE DRAGON GIRL,65,67
1083,Muhammad Naimov," Aug 07, 1994", 5-1-0,145,Orthodox,HILLMAN,69,70
1084,Kazuhiro Nakamura," Jul 16, 1979", 21-13-0,205,Orthodox,KAZ,71,70
1085,Keita Nakamura," May 22, 1984", 34-10-2 (1 NC),170,Southpaw,K-TARO,71,73
1086,Tyson Nam," Oct 06, 1983", 20-12-1,125,Orthodox,,67,68
1087,Rose Namajunas," Jun 29, 1992", 11-4-0,115,Orthodox,THUG,65,65
1088,Nad Narimani," Apr 14, 1987", 12-4-0,145,Orthodox,SMILER,68,70
1089,Rodrigo Nascimento," Nov 26, 1992", 9-1-0,246,Orthodox,ZE COLMEIA,74,80
1090,Bobby Nash," Mar 26, 1990", 8-4-0,170,Orthodox,,72,74
1091,Rafael Natal," Dec 25, 1982", 21-9-1,185,Orthodox,SAPO,72,77
1092,Kevin Natividad," Apr 02, 1993", 9-3-0,145,Orthodox,QUICKSAND,66,70
1093,Ismail Naurdiev," Aug 18, 1996", 19-4-0,170,Orthodox,THE AUSTRIAN WONDERBOY,70,74
1094,Tafon Nchukwi," Oct 14, 1994", 5-1-0,205,Orthodox,DA DON,72,77
1095,Geoff Neal," Aug 28, 1990", 13-4-0,170,Southpaw,HANDZ OF STEEL,71,75
1096,Stanislav Nedkov," Dec 09, 1981", 12-2-0 (1 NC),205,Orthodox,STUCKY,71,71
1097,Josh Neer," Mar 24, 1983", 36-16-1,170,Orthodox,THE DENTIST,71,72
1098,Nicolae Negumereanu," Sep 04, 1994", 10-1-0,205,Orthodox,,72,78
1099,Shane Nelson," Nov 29, 1984", 16-7-0,155,Southpaw,SUGAR,69,70
1100,Roy Nelson," Jun 20, 1976", 22-14-0,263,Orthodox,BIG COUNTRY,72,73
1101,Gunnar Nelson," Jul 28, 1988", 17-5-1,170,Switch,GUNNI,71,72
1102,Kyle Nelson," Apr 20, 1991", 13-4-0,155,Switch,THE MONSTER,71,71
1103,Antonio Braga Neto," Oct 29, 1987", 9-3-0 (1 NC),185,Orthodox,,75,77
1104,Journey Newson," Mar 07, 1989", 9-3-0 (1 NC),135,Orthodox,,65,67
1105,Francis Ngannou," Sep 05, 1986", 16-3-0,250,Orthodox,THE PREDATOR,76,83
1106,Ben Nguyen," Aug 03, 1988", 16-8-0,125,Switch,TEN,65,65
1107,Alex Nicholson," May 02, 1990", 7-4-0,185,Orthodox,THE SPARTAN,76,77
1108,Matheus Nicolau," Jan 06, 1993", 16-3-1,125,Orthodox,,66,66
1109,Tom Niinimaki," Jul 25, 1982", 22-8-1,145,Orthodox,STONEFACE,69,69
1110,Ramsey Nijem," Apr 01, 1988", 9-6-0,155,Orthodox,,71,75
1111,Guangyou Ning," Dec 15, 1981", 5-4-1,145,Southpaw,SMASHER,64,64
1112,Anthony Njokuani," Mar 01, 1980", 16-12-0 (1 NC),155,Orthodox,THE ASSASSIN,73,75
1113,Antonio Rodrigo Nogueira," Jun 02, 1976", 34-10-1 (1 NC),240,Orthodox,MINOTAURO,75,77
1114,Rogerio Nogueira," Jun 02, 1976", 23-10-0,205,Southpaw,MINOTOURO,74,75
1115,Kyle Noke," Mar 18, 1980", 22-10-1,170,Southpaw,,73,76
1116,KJ Noons," Dec 07, 1982", 13-9-0 (1 NC),155,Orthodox,KING,70,70
1117,Sage Northcutt," Mar 01, 1996", 11-2-0,170,Orthodox,SUPER,72,71
1118,Phillipe Nover," Feb 03, 1984", 11-8-1,145,Orthodox,THE FILIPINO ASSASSIN,69,72
1119,Shayilan Nuerdanbieke," May 04, 1994", 19-7-0,145,Orthodox,WOLVERINE,68,69
1120,Diego Nunes," Nov 30, 1982", 19-7-0,145,Orthodox,THE GUN,66,67
1121,Amanda Nunes," May 30, 1988", 21-4-0,145,Orthodox,LIONESS,68,69
1122,Nina Nunes," Dec 03, 1985", 10-7-0,115,Orthodox,,65,64
1123,Josiane Nunes," Dec 23, 1993", 7-1-0,135,Southpaw,JOSI,62,67
1124,Khabib Nurmagomedov," Sep 20, 1988", 29-0-0,155,Orthodox,THE EAGLE,70,70
1125,Said Nurmagomedov," Apr 05, 1992", 14-2-0,135,Orthodox,,68,70
1126,Abubakar Nurmagomedov," Nov 13, 1989", 16-3-1,170,Orthodox,,71,72
1127,Kennedy Nzechukwu," Jun 13, 1992", 9-1-0,205,Southpaw,AFRICAN SAVAGE,77,83
1128,Jake O'Brien," Sep 25, 1984", 15-4-0,205,Orthodox,IRISH,75,76
1129,Sean O'Connell," Sep 02, 1983", 17-9-0,205,Orthodox,THE REAL OC,73,74
1130,Sean O'Malley," Oct 24, 1994", 14-1-0,135,Switch,SUGAR,71,72
1131,Casey O'Neill," Oct 07, 1997", 7-0-0,125,Orthodox,KING,66,69
1132,Brendan O'Reilly," Jun 24, 1987", 6-3-0 (1 NC),170,Orthodox,BADGER,67,69
1133,Christian Ocon," Feb 05, 1996", 2-1-0,135,Orthodox,,68,69
1134,Volkan Oezdemir," Sep 19, 1989", 17-5-0,205,Orthodox,NO TIME,74,75
1135,Andy Ogle," Feb 16, 1989", 9-6-0,145,Orthodox,THE LITTLE AXE,68,69
1136,Yushin Okami," Jul 21, 1981", 34-12-0,170,Southpaw,THUNDER,74,75
1137,JJ Okanovich," Nov 04, 1990", 7-1-0,155,Orthodox,THE BOSNIAN BOMBER,71,76
1138,Aleksei Oleinik," Jun 20, 1977", 59-16-1,240,Orthodox,THE BOA CONSTRICTOR,74,80
1139,Michal Oleksiejczuk," Feb 22, 1995", 15-4-0 (1 NC),205,Southpaw,LORD,72,74
1140,Rafaello Oliveira," Jan 26, 1982", 17-8-0,155,Orthodox,TRACTOR,68,71
1141,Charles Oliveira," Oct 17, 1989", 31-8-0 (1 NC),155,Orthodox,DO BRONX,70,74
1142,Alex Oliveira," Feb 21, 1988", 22-10-1 (2 NC),170,Orthodox,COWBOY,71,76
1143,Bruno Oliveira," May 02, 1984", 8-2-0,205,Orthodox,,76,80
1144,Cameron Olson," Nov 22, 1989", 7-3-0 (1 NC),205,Orthodox,CAP'N CRUNCH,73,75
1145,Daniel Omielanczuk," Aug 31, 1982", 19-8-1 (1 NC),247,Southpaw,,72,74
1146,Michihiro Omigawa," Dec 19, 1975", 17-14-1,145,Orthodox,,66,68
1147,Charlie Ontiveros," Jul 04, 1991", 11-7-0,185,Switch,AMERICAN BAD BOY,74,78
1148,Brian Ortega," Feb 21, 1991", 15-1-0 (1 NC),145,Switch,T-CITY,68,69
1149,Tito Ortiz," Jan 23, 1975", 19-12-1,205,Orthodox,THE PEOPLE'S CHAMP,75,74
1150,Dustin Ortiz," Dec 25, 1988", 19-8-0,125,Orthodox,,65,65
1151,Kenji Osawa," Nov 04, 1976", 20-11-2,135,Orthodox,,67,66
1152,Ode Osbourne," Jan 09, 1992", 9-3-0 (1 NC),145,Southpaw,THE JAMAICAN SENSATION,67,73
1153,Nick Osipczak," Dec 30, 1984", 6-3-0,170,Orthodox,,74,76
1154,Rachael Ostovich," Feb 25, 1991", 4-6-0,125,Orthodox,,63,62
1155,Zak Ottow," Dec 22, 1986", 17-7-0,170,Orthodox,THE BARBARIAN,71,72
1156,Sidney Outlaw," Apr 11, 1992", 8-4-0,170,Orthodox,,68,74
1157,Alistair Overeem," May 17, 1980", 47-19-0 (1 NC),265,Orthodox,THE DEMOLITION MAN,76,80
1158,Alptekin Ozkilic," Mar 27, 1986", 9-5-0,125,Orthodox,THE TURKISH DELIGHT,65,65
1159,Nick Pace," Apr 17, 1987", 8-3-0,135,Orthodox,,67,68
1160,Teemu Packalen," May 22, 1987", 8-3-0,155,Orthodox,PACU,73,75
1161,Damacio Page," Sep 30, 1982", 19-10-0,135,Orthodox,THE ANGEL OF DEATH,66,66
1162,Dustin Pague," Aug 05, 1987", 12-11-0,135,Orthodox,THE DISCIPLE,69,74
1163,Raulian Paiva," Oct 17, 1995", 21-3-0,125,Orthodox,,68,69
1164,Dinis Paiva Jr.," May 26, 1988", 13-8-0,145,Southpaw,SWEETBREAD,69,71
1165,Fredson Paixao," May 13, 1979", 10-5-0 (1 NC),145,Orthodox,,66,66
1166,Bart Palaszewski," May 30, 1983", 36-17-0,145,Orthodox,BARTIMUS,69,70
1167,Sasha Palatnikov," Mar 15, 1989", 6-3-0,170,Switch,,73,72
1168,Soa Palelei," Jul 12, 1977", 22-5-0,265,Orthodox,THE HULK,76,81
1169,Rousimar Palhares," Feb 26, 1980", 19-8-0,170,Orthodox,TOQUINHO,68,71
1170,Alexandre Pantoja," Apr 16, 1990", 23-5-0,125,Orthodox,THE CANNIBAL,65,67
1171,Jared Papazian," Feb 01, 1988", 20-13-0 (1 NC),135,Southpaw,THE JACKHAMMER,68,67
1172,Josh Parisian," Jun 28, 1989", 14-4-0,265,Orthodox,,76,79
1173,Karo Parisyan," Aug 28, 1982", 24-11-0 (1 NC),170,Orthodox,THE HEAT,70,72
1174,Junyong Park," Feb 27, 1991", 13-4-0,185,Orthodox,THE IRON TURTLE,70,73
1175,Harvey Park," Mar 22, 1986", 12-3-0,155,Orthodox,FIGHTBOT,72,70
1176,Norman Parke," Dec 22, 1986", 23-6-1,155,Southpaw,STORMIN',71,70
1177,Preston Parsons," Jul 15, 1995", 9-3-0,170,Orthodox,PRESSURE,71,71
1178,Jhonoven Pati," Aug 29, 1990", 6-4-0,185,Switch,THE SAMOAN SAVAGE,73,75
1179,Claude Patrick," Jun 14, 1980", 14-2-0,170,Orthodox,THE PRINCE,71,75
1180,Alan Patrick," Jul 19, 1983", 15-3-0 (1 NC),155,Southpaw,NUGUETTE,71,74
1181,Sergei Pavlovich," May 13, 1992", 14-1-0,257,Southpaw,,75,84
1182,Pawel Pawlak," Feb 08, 1989", 12-3-0,170,Orthodox,,72,73
1183,Jonathan Pearce," May 01, 1992", 10-4-0,145,Switch,JSP,72,71
1184,Ross Pearson," Sep 26, 1984", 20-16-0 (1 NC),155,Orthodox,THE REAL DEAL,68,69
1185,Carlo Pedersoli Jr.," Jun 08, 1993", 11-3-0,170,Southpaw,SEMENTO,71,75
1186,Tyson Pedro," Sep 17, 1991", 7-3-0,205,Orthodox,,75,79
1187,Kurt Pellegrino," May 07, 1979", 16-7-0,155,Orthodox,BATMAN,68,70
1188,Julianna Pena," Aug 19, 1989", 11-4-0,135,Orthodox,THE VENEZUELAN VIXEN,66,69
1189,Luis Pena," Jul 05, 1993", 9-3-0,155,Southpaw,VIOLENT BOB ROSS,75,75
1190,Cathal Pendred," Sep 02, 1987", 17-4-1,170,Orthodox,THE PUNISHER,73,75
1191,BJ Penn," Dec 13, 1978", 16-14-2,155,Orthodox,THE PRODIGY,69,70
1192,Jessica Penne," Jan 30, 1983", 13-6-0,115,Orthodox,,65,67
1193,Raquel Pennington," Sep 05, 1988", 11-9-0,135,Orthodox,ROCKY,67,67
1194,Godofredo Pepey," Jul 02, 1987", 13-6-0,145,Orthodox,,67,73
1195,Robert Peralta," Mar 14, 1986", 18-8-0 (1 NC),145,Orthodox,PROBLEMS,68,71
1196,Viviane Pereira," Aug 28, 1993", 13-2-0,115,Orthodox,SUCURI,61,63
1197,Michel Pereira," Oct 06, 1993", 26-11-0 (2 NC),170,Orthodox,DEMOLIDOR,73,73
1198,Erik Perez," Nov 19, 1989", 17-6-0,135,Orthodox,GOYITO,68,68
1199,Alejandro Perez," Sep 02, 1989", 22-8-1,145,Orthodox,TURBO,66,67
1200,Frankie Perez," May 11, 1989", 10-4-0,155,Orthodox,,71,73
1201,Alex Perez," Mar 21, 1992", 24-6-0,125,Orthodox,,66,65
1202,Markus Perez," Jun 22, 1988", 12-5-0,185,Orthodox,MALUKO,73,73
1203,Anthony Perosh," Oct 05, 1972", 15-10-0,205,Orthodox,THE HIPPO,75,75
1204,Jay Perrin," Jun 15, 1993", 5-4-0,135,Switch,,67,69
1205,Mike Perry," Sep 15, 1991", 14-8-0,170,Orthodox,PLATINUM,70,71
1206,Raphael Pessoa," Mar 09, 1989", 10-2-0,262,Orthodox,BEBEZAO,75,78
1207,Viktor Pesta," Jul 15, 1990", 10-4-0,240,Orthodox,,75,77
1208,Steven Peterson," May 29, 1990", 19-9-0,145,Orthodox,OCHO,70,70
1209,Seth Petruzelli," Dec 03, 1979", 14-8-0,205,Orthodox,THE SILVERBACK,72,76
1210,Peter Petties," Dec 20, 1990", 5-3-0 (1 NC),145,Southpaw,THE JOKER,71,72
1211,Anthony Pettis," Jan 27, 1987", 24-10-0,155,Orthodox,SHOWTIME,70,72
1212,Sergio Pettis," Aug 18, 1993", 18-5-0,125,Orthodox,,66,69
1213,Forrest Petz," Sep 22, 1975", 26-10-0,170,Orthodox,THE MEAT CLEAVER,69,71
1214,Cody Pfister," Jul 12, 1990", 13-6-1,155,Orthodox,THE FIST,70,73
1215,Nam Phan," Mar 13, 1983", 21-17-0,135,Orthodox,,66,70
1216,Constantinos Philippou," Nov 29, 1979", 13-5-0 (1 NC),185,Orthodox,,71,73
1217,Aaron Phillips," Aug 05, 1989", 12-4-0,135,Southpaw,THE DRAGON,69,71
1218,Elizabeth Phillips," Aug 20, 1986", 6-6-0,135,Orthodox,,66,65
1219,John Phillips," Jun 09, 1985", 22-11-0 (1 NC),185,Southpaw,THE WELSH WRECKING MACHINE,71,75
1220,Kyler Phillips," Jun 12, 1995", 9-2-0,135,Orthodox,THE MATRIX,68,72
1221,Vinc Pichel," Nov 23, 1982", 13-2-0,155,Orthodox,FROM HELL,70,72
1222,Brad Pickett," Sep 24, 1978", 25-14-0,135,Orthodox,ONE PUNCH,66,68
1223,Jamie Pickett," Aug 29, 1988", 11-6-0,185,Orthodox,THE NIGHT WOLF,74,80
1224,Oskar Piechota," Jan 24, 1990", 11-3-1 (1 NC),185,Southpaw,IMADLO,72,76
1225,Mike Pierce," Sep 01, 1980", 17-7-0,170,Orthodox,,68,71
1226,Sean Pierson," Mar 10, 1976", 14-6-0,170,Southpaw,THE PUNISHER,72,76
1227,Domingo Pilarte," Jan 05, 1990", 8-2-0 (1 NC),135,Southpaw,SON OF FIRE,72,73
1228,Daniel Pineda," Aug 06, 1985", 27-14-0 (3 NC),145,Orthodox,THE PIT,67,69
1229,Pingyuan Liu," Feb 13, 1993", 13-7-0,135,Orthodox,,66,72
1230,Luana Pinheiro," Nov 18, 1992", 9-1-0,115,Orthodox,,62,62
1231,Maki Pitolo," Nov 24, 1990", 13-8-0,185,Orthodox,COCONUT BOMBZ,70,75
1232,Jamal Pogues," Dec 01, 1995", 7-2-0,205,Orthodox,,75,77
1233,Dustin Poirier," Jan 19, 1989", 28-6-0 (1 NC),155,Southpaw,THE DIAMOND,69,72
1234,Igor Pokrajac," Jan 02, 1979", 28-13-0 (1 NC),205,Orthodox,THE DUKE,72,74
1235,Santiago Ponzinibbio," Sep 26, 1986", 29-4-0,170,Orthodox,ARGENTINE DAGGER,72,73
1236,Grigory Popov," Apr 18, 1984", 13-3-0,135,Switch,,67,68
1237,Parker Porter," Apr 22, 1985", 11-6-0,265,Orthodox,,72,75
1238,Callan Potter," Jun 09, 1984", 18-9-0,170,Orthodox,THE ROCKSTAR,72,72
1239,Ruan Potts," Feb 23, 1978", 11-6-0,247,Orthodox,FANGZZ,74,75
1240,Devin Powell," Mar 01, 1988", 9-4-0,155,Orthodox,,72,73
